window_id,link_type,source_id,target_id,source_domain,target_domain,start_index,end_index_exclusive,start_time_utc,end_time_utc,duration_seconds,sample_count,mean_range_km,min_range_km,max_range_km,transmission_rate_mbps,generation_config_sha256,selection_rule,symmetrization_rule,selected_by_source,earth_clearance_min_km,boundary_source
IDL-000021,IDL,cs01,os01,communication,observation,2288,2357,2025-01-01T19:04:00.000000Z,2025-01-01T19:38:30.000000Z,2070.000000000,69,41945.792968750,40405.863281250,44711.652343750,80.000000000,0959490dcfeedeafc8e9e01f868552fc1a757f1f2924fe4d8aaab468b9881130,nearest_visible_satellite_in_each_other_domain,union,both,22.055772781,sampled
IDL-000022,IDL,cs01,os01,communication,observation,2477,2540,2025-01-01T20:38:30.000000Z,2025-01-01T21:10:00.000000Z,1890.000000000,63,40328.085937500,37838.515625000,44688.441406250,80.000000000,0959490dcfeedeafc8e9e01f868552fc1a757f1f2924fe4d8aaab468b9881130,nearest_visible_satellite_in_each_other_domain,union,both,36.240535736,sampled
IDL-000023,IDL,cs01,os01,communication,observation,2672,2733,2025-01-01T22:16:00.000000Z,2025-01-01T22:46:30.000000Z,1830.000000000,61,39203.863281250,35839.816406250,44749.960937500,80.000000000,0959490dcfeedeafc8e9e01f868552fc1a757f1f2924fe4d8aaab468b9881130,nearest_visible_satellite_in_each_other_domain,union,both,10.491426468,sampled
IDL-000024,IDL,cs01,os01,communication,observation,2847,2881,2025-01-01T23:43:30.000000Z,2025-01-02T00:00:00.000000Z,990.000000000,34,35615.769531250,35074.996093750,37083.726562500,80.000000000,0959490dcfeedeafc8e9e01f868552fc1a757f1f2924fe4d8aaab468b9881130,nearest_visible_satellite_in_each_other_domain,union,both,707.584594727,sampled
IDL-000025,IDL,cs01,os02,communication,observation,58,147,2025-01-01T00:29:00.000000Z,2025-01-01T01:13:30.000000Z,2670.000000000,89,37855.644531250,35274.050781250,43479.648437500,80.000000000,0959490dcfeedeafc8e9e01f868552fc1a757f1f2924fe4d8aaab468b9881130,nearest_visible_satellite_in_each_other_domain,union,both,460.738098145,sampled
IDL-000026,IDL,cs01,os02,communication,observation,248,343,2025-01-01T02:04:00.000000Z,2025-01-01T02:51:30.000000Z,2850.000000000,95,38949.746093750,36709.847656250,43441.425781250,80.000000000,0959490dcfeedeafc8e9e01f868552fc1a757f1f2924fe4d8aaab468b9881130,nearest_visible_satellite_in_each_other_domain,union,both,470.793823242,sampled
IDL-000027,IDL,cs01,os02,communication,observation,443,539,2025-01-01T03:41:30.000000Z,2025-01-01T04:29:30.000000Z,2880.000000000,96,40566.410156250,39101.699218750,43512.085937500,80.000000000,0959490dcfeedeafc8e9e01f868552fc1a757f1f2924fe4d8aaab468b9881130,nearest_visible_satellite_in_each_other_domain,union,both,452.310974121,sampled
IDL-000028,IDL,cs01,os02,communication,observation,639,734,2025-01-01T05:19:30.000000Z,2025-01-01T06:07:00.000000Z,2850.000000000,95,42454.480468750,41451.980468750,43762.343750000,80.000000000,0959490dcfeedeafc8e9e01f868552fc1a757f1f2924fe4d8aaab468b9881130,nearest_visible_satellite_in_each_other_domain,union,both,381.539123535,sampled
IDL-000029,IDL,cs01,os02,communication,observation,805,808,2025-01-01T06:42:30.000000Z,2025-01-01T06:44:00.000000Z,90.000000000,3,41013.230468750,41001.136718750,41026.113281250,80.000000000,0959490dcfeedeafc8e9e01f868552fc1a757f1f2924fe4d8aaab468b9881130,nearest_visible_satellite_in_each_other_domain,union,cs01,696.895751953,sampled
IDL-000030,IDL,cs01,os02,communication,observation,835,877,2025-01-01T06:57:30.000000Z,2025-01-01T07:18:30.000000Z,1260.000000000,42,43205.863281250,41706.882812500,44737.890625000,80.000000000,0959490dcfeedeafc8e9e01f868552fc1a757f1f2924fe4d8aaab468b9881130,nearest_visible_satellite_in_each_other_domain,union,os02,16.191663742,sampled
IDL-000031,IDL,cs01,os02,communication,observation,923,926,2025-01-01T07:41:30.000000Z,2025-01-01T07:43:00.000000Z,90.000000000,3,44646.378906250,44571.191406250,44720.640625000,80.000000000,0959490dcfeedeafc8e9e01f868552fc1a757f1f2924fe4d8aaab468b9881130,nearest_visible_satellite_in_each_other_domain,union,os02,26.481203079,sampled
IDL-000032,IDL,cs01,os02,communication,observation,990,994,2025-01-01T08:15:00.000000Z,2025-01-01T08:17:00.000000Z,120.000000000,4,38472.703125000,38456.781250000,38493.488281250,80.000000000,0959490dcfeedeafc8e9e01f868552fc1a757f1f2924fe4d8aaab468b9881130,nearest_visible_satellite_in_each_other_domain,union,cs01,699.107482910,sampled
IDL-000033,IDL,cs01,os02,communication,observation,1030,1054,2025-01-01T08:35:00.000000Z,2025-01-01T08:47:00.000000Z,720.000000000,24,43057.703125000,41363.707031250,44740.546875000,80.000000000,0959490dcfeedeafc8e9e01f868552fc1a757f1f2924fe4d8aaab468b9881130,nearest_visible_satellite_in_each_other_domain,union,os02,5.760829449,sampled
IDL-000034,IDL,cs01,os02,communication,observation,1184,1188,2025-01-01T09:52:00.000000Z,2025-01-01T09:54:00.000000Z,120.000000000,4,36249.597656250,36239.675781250,36266.917968750,80.000000000,0959490dcfeedeafc8e9e01f868552fc1a757f1f2924fe4d8aaab468b9881130,nearest_visible_satellite_in_each_other_domain,union,cs01,699.963073730,sampled
IDL-000035,IDL,cs01,os02,communication,observation,1219,1245,2025-01-01T10:09:30.000000Z,2025-01-01T10:22:30.000000Z,780.000000000,26,42181.390625000,39689.199218750,44678.375000000,80.000000000,0959490dcfeedeafc8e9e01f868552fc1a757f1f2924fe4d8aaab468b9881130,nearest_visible_satellite_in_each_other_domain,union,os02,30.124099731,sampled
